iter	Passed	Remaining
215	106305	90556
216	106759	90032
217	107204	89501
218	107612	88940
219	108078	88427
220	108518	87895
221	108943	87350
222	109357	86799
223	109835	86299
224	110308	85795
225	110783	85293
226	111302	84825
227	111681	84250
228	112126	83727
229	112593	83221
230	113062	82716
231	113480	82175
232	113955	81676
233	114436	81181
234	114842	80634
235	115253	80091
236	115667	79551
237	116146	79057
238	116608	78552
239	117042	78028
240	117480	77507
241	117964	77018
242	118433	76518
243	118907	76022
244	119390	75532
245	119826	75013
246	120227	74473
247	120611	73923
248	121109	73443
249	121584	72950
250	121991	72417
251	122435	71906
252	122844	71376
253	123290	70867
254	123741	70362
255	124149	69834
256	124538	69295
257	125026	68812
258	125374	68254
259	125818	67748
260	126347	67288
261	126783	66779
262	127170	66244
263	127617	65742
264	128143	65280
265	128558	64762
266	129034	64275
267	129516	63791
268	129955	63286
269	130402	62786
270	130902	62311
271	131280	61779
272	131741	61286
273	132170	60779
274	132670	60304
275	133056	59778
276	133498	59278
277	134031	58819
278	134442	58306
279	134956	57838
280	135352	57320
281	135809	56828
282	136239	56325
283	136621	55802
284	137063	55306
285	137536	54822
286	137910	54299
287	138325	53793
288	138889	53345
289	139314	52843
290	139823	52373
291	140283	51885
292	140694	51379
293	141164	50895
294	141616	50405
295	142102	49927
296	142493	49416
297	142936	48924
298	143370	48429
299	143824	47941
300	144262	47448
301	144844	47002
302	145412	46551
303	145937	46085
304	146396	45598
305	146788	45091
306	147328	44630
307	147787	44144
308	148284	43669
309	148686	43166
310	149162	42686
311	149601	42195
312	150090	41718
313	150542	41231
314	151009	40748
315	151376	40239
316	151836	39755
317	152325	39278
318	152857	38813
319	153312	38328
320	153722	37832
321	154162	37343
322	154638	36864
323	155050	36369
324	155519	35889
325	155980	35406
326	156400	34915
327	156823	34424
328	157267	33939
329	157720	33455
330	158160	32969
331	158620	32488
332	159092	32009
333	159512	31520
334	159886	31022
335	160323	30537
336	160723	30046
337	161186	29566
338	161610	29080
339	162083	28602
340	162545	28123
341	162997	27642
342	163484	27168
343	163890	26679
344	164388	26206
345	164758	25713
346	165228	25236
347	165649	24752
348	166127	24276
349	166618	23802
350	167018	23316
351	167399	22827
352	167921	22357
353	168335	21874
354	168742	21389
355	169202	20912
356	169653	20434
357	170093	19955
358	170532	19475
359	170988	18998
360	171461	18523
361	171901	18044
362	172352	17567
363	172833	17093
364	173244	16612
365	173657	16132
366	174116	15656
367	174523	15175
368	175040	14705
369	175460	14226
370	175930	13751
371	176363	13274
372	176835	12800
373	177304	12325
374	177817	11854
375	178215	11375
376	178666	10900
377	179095	10423
378	179516	9946
379	179993	9473
380	180439	8998
381	180882	8523
382	181309	8047
383	181747	7572
384	182160	7097
385	182592	6622
386	183109	6150
387	183612	5678
388	183979	5202
389	184462	4729
390	184914	4256
391	185411	3783
392	185819	3309
393	186277	2836
394	186703	2363
395	187183	1890
396	187576	1417
397	188068	945
398	188514	472
399	188999	0
